r_process,r_comp,profit,status,n_activated,n_sold,wall_seconds
0.0,0.0,74311760.09254873,Optimal,1,1,11.480734935001237
0.0,0.02,74311760.09254873,Optimal,10,1,12.588761675011483
0.0,0.04,74311760.09254873,Optimal,10,1,12.613774805999128
0.0,0.06,74311760.09254873,Optimal,10,1,12.778372917993693
0.02,0.0,74311760.09254873,Optimal,1,1,11.64092596899718
0.02,0.02,74311760.09254873,Optimal,1,1,11.394029937990126
0.02,0.04,74311760.09254873,Optimal,10,1,12.669415132986614
0.02,0.06,74311760.09254873,Optimal,1,1,11.842103130999021
0.04,0.0,74311760.09254873,Optimal,1,1,11.703437871008646
0.04,0.02,74311760.09254873,Optimal,1,1,11.589677455005585
0.04,0.04,74311760.09254873,Optimal,10,1,12.638428128004307
0.04,0.06,74311760.09254873,Optimal,1,1,11.663173863009433
0.06,0.0,74311760.09254873,Optimal,1,1,11.726177224991261
0.06,0.02,74311760.09254873,Optimal,1,1,11.690048609991209
0.06,0.04,74311760.09254873,Optimal,10,1,12.687304110993864
0.06,0.06,74311760.09254873,Optimal,1,1,11.687550702001317
