r_process,r_comp,profit,status,n_activated,n_sold,wall_seconds
0.0,0.0,18125056.065145608,Optimal,1,1,8.767170677005197
0.0,0.02,18125056.065145608,Optimal,1,1,8.737882565008476
0.0,0.04,18125056.065145608,Optimal,1,1,8.7534433969995
0.0,0.06,18125056.065145608,Optimal,1,1,8.80848685700039
0.02,0.0,18125056.065145608,Optimal,1,1,8.844566960004158
0.02,0.02,18125056.065145608,Optimal,1,1,8.691398438997567
0.02,0.04,18125056.065145608,Optimal,1,1,8.787879071009229
0.02,0.06,18125056.065145608,Optimal,1,1,8.832136937999167
0.04,0.0,18125056.065145608,Optimal,1,1,8.932048542003031
0.04,0.02,18125056.065145608,Optimal,1,1,8.859831117006252
0.04,0.04,18125056.065145608,Optimal,1,1,8.72872949700104
0.04,0.06,18125056.065145608,Optimal,1,1,8.829059312993195
0.06,0.0,18125056.065145608,Optimal,1,1,8.884821461993852
0.06,0.02,18125056.065145608,Optimal,1,1,8.889340606998303
0.06,0.04,18125056.065145608,Optimal,1,1,8.793339500000002
0.06,0.06,18125056.065145608,Optimal,1,1,8.79059416599921
