r_process,r_comp,profit,status,n_activated,n_sold,wall_seconds
0.0,0.0,9023349.77694101,Optimal,1,2,11.422817464990658
0.0,0.02,8842682.781401645,Optimal,1,2,11.236983524009702
0.0,0.04,8662015.785862278,Optimal,1,2,11.4565083339985
0.0,0.06,8481348.790322913,Optimal,1,2,11.431992101002834
0.02,0.0,9023349.77694101,Optimal,1,2,11.367045872000745
0.02,0.02,8842682.781401645,Optimal,1,2,11.482878054011962
0.02,0.04,8662015.785862278,Optimal,1,2,11.439952806002111
0.02,0.06,8481348.790322913,Optimal,1,2,11.475861580998753
0.04,0.0,9023349.77694101,Optimal,1,2,11.501064865995431
0.04,0.02,8842682.781401645,Optimal,1,2,11.483126590988832
0.04,0.04,8662015.785862278,Optimal,1,2,11.499198307006736
0.04,0.06,8481348.790322913,Optimal,1,2,11.463652509992244
0.06,0.0,9023349.77694101,Optimal,1,2,11.548898683002335
0.06,0.02,8842682.781401645,Optimal,1,2,11.602232915000059
0.06,0.04,8662015.785862278,Optimal,1,2,11.579550711991033
0.06,0.06,8481348.790322913,Optimal,1,2,11.568659999000374
