solve_rank,MILP_profit_USD,MILP-cap20_profit_USD,LP_profit_USD,MILP_blocked_mol_id,MILP-cap20_blocked_mol_id,LP_blocked_mol_id
1,592424882.3161938,592424882.3161938,592424882.3161938,MNXM731718,MNXM731718,MNXM731718
2,520173953.2859447,520173953.2859447,520173953.28594464,MNXM319,MNXM319,MNXM319
3,504320305.901353,504320305.901353,504320305.901353,MNXM7176,MNXM7176,MNXM7176
4,404641845.3739102,404641845.3739102,404641845.3739102,MNXM1108189,MNXM1108189,MNXM1108189
5,352609348.3681203,352609348.3681203,352609348.3685529,MNXM738271,MNXM738271,MNXM738271
6,209838592.91795003,209838592.91795003,209838592.91799173,MNXM3548,MNXM3548,MNXM3548
7,163781113.58760864,163781113.5876086,163781113.58760872,MNXM731397,MNXM731397,MNXM731397
8,163597142.76878783,163597142.76878783,163597142.76878783,MNXM6337,MNXM6337,MNXM6337
9,130021375.0551598,130021375.0551598,130021375.0551598,MNXM3478,MNXM3478,MNXM3478
10,113946748.82622863,113946748.82622865,113946748.82622865,MNXM6742,MNXM6742,MNXM6742
11,100924817.56160025,100924817.56160025,100924817.56163935,MNXM3658,MNXM3658,MNXM3658
12,87364362.1687112,87364362.16871122,87364362.16863191,MNXM737025,MNXM737025,MNXM737025
13,80301639.3624916,80301639.3624916,80301639.36249584,MNXM726,MNXM726,MNXM726
14,75703261.97117671,75703261.97117671,75703261.97117671,MNXM40497,MNXM40497,MNXM40497
15,74311760.09254873,74311760.09254873,74311760.09260967,[CH2:7]([NH:11][C:1](=[O:6])[O:2][CH2:3][CH2:4][OH:5])[CH2:8][CH2:9][CH3:10],[CH2:7]([NH:11][C:1](=[O:6])[O:2][CH2:3][CH2:4][OH:5])[CH2:8][CH2:9][CH3:10],[CH2:7]([NH:11][C:1](=[O:6])[O:2][CH2:3][CH2:4][OH:5])[CH2:8][CH2:9][CH3:10]
16,71239954.30589534,71239954.30589534,71239954.30587618,MNXM733546,MNXM733546,MNXM733546
17,55026672.544048525,55026672.544048525,55026672.546130866,MNXM736576,MNXM736576,MNXM736576
18,52037092.479110196,52037092.479110196,52037092.47810405,MNXM43856,MNXM43856,MNXM43856
19,50708422.17778674,50708422.17778674,50708422.17778674,MNXM2327,MNXM2327,MNXM2327
20,49062683.62588648,49062683.62588648,49062683.62588648,MNXM730753,MNXM730753,MNXM730753
