solve_rank,LP_profit_USD,Knuth-Dijkstra_profit_USD,LP_blocked_mol_id,Knuth-Dijkstra_blocked_mol_id
1,592424882.3161938,569224325.8041778,MNXM731718,MNXM731718
2,520173953.28594464,500429773.1457019,MNXM319,MNXM319
3,504320305.901353,404641853.20576316,MNXM7176,MNXM1108189
4,404641845.3739102,333556233.3993113,MNXM1108189,MNXM7176
5,352609348.3685529,302681018.99675244,MNXM738271,MNXM738271
6,209838592.91799173,209835097.35843825,MNXM3548,MNXM3548
7,163781113.58760872,163596468.2104694,MNXM731397,MNXM6337
8,163597142.76878783,143845432.13450286,MNXM6337,MNXM731397
9,130021375.0551598,100924784.1047873,MNXM3478,MNXM3658
10,113946748.82622865,97112375.94307081,MNXM6742,MNXM6742
11,100924817.56163935,80301423.14869912,MNXM3658,MNXM726
12,87364362.16863191,78657156.34701075,MNXM737025,MNXM3478
13,80301639.36249584,75702465.50514252,MNXM726,MNXM40497
14,75703261.97117671,74311760.01486607,MNXM40497,[CH2:7]([NH:11][C:1](=[O:6])[O:2][CH2:3][CH2:4][OH:5])[CH2:8][CH2:9][CH3:10]
15,74311760.09260967,55026672.84054548,[CH2:7]([NH:11][C:1](=[O:6])[O:2][CH2:3][CH2:4][OH:5])[CH2:8][CH2:9][CH3:10],MNXM736576
16,71239954.30587618,53021595.291141346,MNXM733546,MNXM737025
17,55026672.546130866,52037093.486536324,MNXM736576,MNXM43856
18,52037092.47810405,50707751.22842798,MNXM43856,MNXM2327
19,50708422.17778674,44707896.1330735,MNXM2327,MNXM731470
20,49062683.62588648,43756437.956765756,MNXM730753,OCC1C=C(C=CC=1)C=O
